id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,rent,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,history,hoa_fee,agent_name,agent_phone,agent_email,agent_website,office_name,office_phone,office_email,office_website
"2483-Birch-Ave-N,-Seattle,-WA-98109","2483 Birch Ave N, Seattle, WA 98109",2483 Birch Ave N,,Seattle,WA,53,98109,King,033,47.641732,-122.346439,Apartment,1,1.0,703.0,,2009.0,Active,2117,Standard,2025-09-29T00:00:00.000Z,,2018-10-29T17:48:09.427Z,2025-09-29T03:40:40.641Z,1,,,"{""2025-06-03"": {""event"": ""Rental Listing"", ""price"": 2207, ""listingType"": ""Standard"", ""listedDate"": ""2025-06-03T00:00:00.000Z"", ""removedDate"": ""2025-09-02T00:00:00.000Z"", ""daysOnMarket"": 91}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 2117, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"118-6th-Ave-N,-Seattle,-WA-98109","118 6th Ave N, Seattle, WA 98109",118 6th Ave N,,Seattle,WA,53,98109,King,033,47.61894,-122.34464,Apartment,1,1.0,800.0,,2010.0,Active,2283,Standard,2025-09-29T00:00:00.000Z,,2019-04-26T11:07:46.488Z,2025-09-29T03:40:40.640Z,1,,,"{""2025-07-31"": {""event"": ""Rental Listing"", ""price"": 2214, ""listingType"": ""Standard"", ""listedDate"": ""2025-07-31T00:00:00.000Z"", ""removedDate"": ""2025-09-02T00:00:00.000Z"", ""daysOnMarket"": 33}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 2283, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"1812-E-Republican-St,-Apt-12,-Seattle,-WA-98112","1812 E Republican St, Apt 12, Seattle, WA 98112",1812 E Republican St,Apt 12,Seattle,WA,53,98112,King,033,47.62339,-122.307747,Apartment,1,1.0,566.0,,,Active,1695,Standard,2025-09-29T00:00:00.000Z,,2025-08-23T00:00:00.000Z,2025-09-29T03:40:40.639Z,1,,,"{""2025-09-01"": {""event"": ""Rental Listing"", ""price"": 1725, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-01T00:00:00.000Z"", ""removedDate"": ""2025-09-02T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1695, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"3035-Ne-130th-St,-Apt-5,-Seattle,-WA-98125","3035 Ne 130th St, Apt 5, Seattle, WA 98125",3035 Ne 130th St,Apt 5,Seattle,WA,53,98125,King,033,47.722679,-122.294655,Apartment,1,1.0,725.0,,,Active,1395,Standard,2025-09-29T00:00:00.000Z,,2021-04-18T01:07:52.306Z,2025-09-29T03:40:40.638Z,1,,,"{""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1395, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"3535-27th-Pl-W,-Apt-311,-Seattle,-WA-98199","3535 27th Pl W, Apt 311, Seattle, WA 98199",3535 27th Pl W,Apt 311,Seattle,WA,53,98199,King,033,47.652195,-122.390427,Apartment,1,1.0,894.0,,,Active,1695,Standard,2025-09-29T00:00:00.000Z,,2025-06-12T00:00:00.000Z,2025-09-29T03:40:40.637Z,1,,,"{""2025-06-12"": {""event"": ""Rental Listing"", ""price"": 1795, ""listingType"": ""Standard"", ""listedDate"": ""2025-06-12T00:00:00.000Z"", ""removedDate"": ""2025-06-13T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-06-21"": {""event"": ""Rental Listing"", ""price"": 1795, ""listingType"": ""Standard"", ""listedDate"": ""2025-06-21T00:00:00.000Z"", ""removedDate"": ""2025-06-22T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-01"": {""event"": ""Rental Listing"", ""price"": 1795, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-01T00:00:00.000Z"", ""removedDate"": ""2025-09-02T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-20"": {""event"": ""Rental Listing"", ""price"": 1695, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-20T00:00:00.000Z"", ""removedDate"": ""2025-09-21T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1695, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"500-Belmont-Ave-E,-Apt-112,-Seattle,-WA-98102","500 Belmont Ave E, Apt 112, Seattle, WA 98102",500 Belmont Ave E,Apt 112,Seattle,WA,53,98102,King,033,47.623379,-122.323738,Apartment,1,1.5,,,,Active,2695,Standard,2025-09-29T00:00:00.000Z,,2025-09-18T00:00:00.000Z,2025-09-29T03:40:40.636Z,1,,,"{""2025-09-18"": {""event"": ""Rental Listing"", ""price"": 2695, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-18T00:00:00.000Z"", ""removedDate"": ""2025-09-19T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 2695, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"8806-Nesbit-Ave-N,-Apt-6,-Seattle,-WA-98103","8806 Nesbit Ave N, Apt 6, Seattle, WA 98103",8806 Nesbit Ave N,Apt 6,Seattle,WA,53,98103,King,033,47.692692,-122.343147,Apartment,1,1.0,673.0,,,Active,1525,Standard,2025-09-29T00:00:00.000Z,,2020-07-30T14:02:55.727Z,2025-09-29T03:40:40.631Z,1,,,"{""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1525, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"605-10th-Ave-E,-Apt-12,-Seattle,-WA-98102","605 10th Ave E, Apt 12, Seattle, WA 98102",605 10th Ave E,Apt 12,Seattle,WA,53,98102,King,033,47.624462,-122.320122,Apartment,1,1.0,700.0,,,Active,1595,Standard,2025-09-29T00:00:00.000Z,,2024-09-09T00:00:00.000Z,2025-09-29T03:40:40.630Z,1,,,"{""2024-09-25"": {""event"": ""Rental Listing"", ""price"": 1595, ""listingType"": ""Standard"", ""listedDate"": ""2024-09-25T00:00:00.000Z"", ""removedDate"": ""2024-09-26T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1595, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"3200-16th-Ave-W,-Apt-302,-Seattle,-WA-98119","3200 16th Ave W, Apt 302, Seattle, WA 98119",3200 16th Ave W,Apt 302,Seattle,WA,53,98119,King,033,47.648693,-122.376976,Apartment,1,1.0,,,,Active,2095,Standard,2025-09-29T00:00:00.000Z,,2025-09-12T00:00:00.000Z,2025-09-29T03:40:40.620Z,1,,,"{""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 2095, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
"3150-Fairview-Ave-E,-Apt-314,-Seattle,-WA-98102","3150 Fairview Ave E, Apt 314, Seattle, WA 98102",3150 Fairview Ave E,Apt 314,Seattle,WA,53,98102,King,033,47.650066,-122.323387,Apartment,1,1.0,473.0,,,Active,1810,Standard,2025-09-29T00:00:00.000Z,,2025-08-29T00:00:00.000Z,2025-09-29T03:40:40.618Z,1,,,"{""2025-09-23"": {""event"": ""Rental Listing"", ""price"": 1810, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-23T00:00:00.000Z"", ""removedDate"": ""2025-09-24T00:00:00.000Z"", ""daysOnMarket"": 1}, ""2025-09-29"": {""event"": ""Rental Listing"", ""price"": 1810, ""listingType"": ""Standard"", ""listedDate"": ""2025-09-29T00:00:00.000Z"", ""removedDate"": null, ""daysOnMarket"": 1}}",,,,,,,,,
